               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11143,             0.24927,            0.022672,             0.11904,             0.16447,             0.07131,            0.019463,            0.089523,             0.24642,            0.014077,            0.070055,           0.0033272,           0.0033272
                   1,            0.091952,             0.20746,            0.010767,             0.61893,              0.7448,             0.71512,             0.25951,            0.068898,             0.20656,           0.0054685,            0.039989,           0.0065946,           0.0065946
                   2,             0.08131,             0.18541,            0.007479,             0.82136,             0.83657,             0.89094,             0.42919,            0.060665,             0.18783,           0.0050899,           0.0098573,            0.009796,            0.009796
                   3,            0.074305,             0.17277,           0.0066208,              0.9185,             0.91167,             0.95224,             0.55574,            0.054042,             0.16714,           0.0043063,            0.009703,            0.009703,            0.009703
